CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 1137.296875 1700466745.7778
MEM 1166.203125 1700466745.8829
MEM 1202.203125 1700466745.9880
MEM 1158.390625 1700466746.0933
MEM 1179.921875 1700466746.1984
MEM 1183.984375 1700466746.3036
MEM 1206.781250 1700466746.4087
MEM 1165.734375 1700466746.5139
MEM 1181.828125 1700466746.6190
MEM 1210.687500 1700466746.7242
MEM 1178.796875 1700466746.8294
MEM 1196.953125 1700466746.9345
MEM 1241.359375 1700466747.0357
MEM 1252.500000 1700466747.1392
MEM 1263.515625 1700466747.2443
MEM 1229.093750 1700466747.3494
MEM 1232.984375 1700466747.4545
MEM 1236.312500 1700466747.5583
MEM 1242.546875 1700466747.6635
MEM 1247.406250 1700466747.7639
MEM 1255.015625 1700466747.8691
MEM 1165.953125 1700466747.9743
MEM 1169.250000 1700466748.0794
MEM 1192.921875 1700466748.1846
MEM 1255.625000 1700466748.2897
MEM 1248.234375 1700466748.3948
MEM 1265.296875 1700466748.4999
MEM 1227.453125 1700466748.6050
MEM 1252.250000 1700466748.7101
MEM 1267.109375 1700466748.8152
MEM 1196.468750 1700466748.9203
MEM 1201.578125 1700466749.0255
MEM 1207.781250 1700466749.1306
MEM 1212.812500 1700466749.2356
MEM 1216.546875 1700466749.3410
MEM 1216.062500 1700466749.4453
MEM 1204.468750 1700466749.5505
MEM 1162.093750 1700466749.6557
MEM 1163.671875 1700466749.7608
MEM 1170.984375 1700466749.8660
MEM 1220.140625 1700466749.9712
MEM 1241.296875 1700466750.0763
MEM 1156.140625 1700466750.1814
MEM 1164.640625 1700466750.2866
MEM 1196.453125 1700466750.3917
MEM 1097.843750 1700466750.4969
MEM 1103.671875 1700466750.6021
MEM 1110.250000 1700466750.7072
MEM 1116.343750 1700466750.8124
MEM 1126.343750 1700466750.9175
MEM 1154.812500 1700466751.0226
MEM 1161.187500 1700466751.1277
MEM 1175.093750 1700466751.2329
MEM 1140.671875 1700466751.3380
MEM 1149.140625 1700466751.4432
MEM 1202.734375 1700466751.5483
MEM 1176.156250 1700466751.6517
MEM 1182.328125 1700466751.7543
MEM 1232.859375 1700466751.8594
MEM 1214.421875 1700466751.9645
MEM 1256.656250 1700466752.0696
MEM 1213.312500 1700466752.1718
MEM 1152.625000 1700466752.2770
MEM 1160.578125 1700466752.3772
MEM 1156.390625 1700466752.4823
MEM 1090.296875 1700466752.5875
MEM 1103.640625 1700466752.6926
MEM 1121.312500 1700466752.7978
MEM 1174.640625 1700466752.9029
MEM 1113.796875 1700466753.0081
MEM 1130.843750 1700466753.1132
MEM 1171.187500 1700466753.2183
MEM 1133.500000 1700466753.3234
MEM 1141.937500 1700466753.4286
MEM 1158.125000 1700466753.5293
MEM 1212.187500 1700466753.6344
MEM 1145.796875 1700466753.7395
MEM 1173.984375 1700466753.8446
MEM 1159.968750 1700466753.9471
MEM 1169.921875 1700466754.0522
MEM 1161.890625 1700466754.1573
MEM 1177.750000 1700466754.2624
MEM 1241.781250 1700466754.3676
MEM 1057.265625 1700466754.4727
MEM 1084.437500 1700466754.5729
MEM 1110.187500 1700466754.6764
MEM 1136.359375 1700466754.7815
MEM 1156.187500 1700466754.8867
MEM 1177.250000 1700466754.9918
MEM 1197.859375 1700466755.0969
MEM 1217.906250 1700466755.2020
MEM 1233.593750 1700466755.3072
MEM 1261.812500 1700466755.4088
MEM 1248.593750 1700466755.5139
MEM 1035.750000 1700466755.6192
MEM 1051.203125 1700466755.7194
MEM 1026.671875 1700466755.8245
MEM 1010.625000 1700466755.9281
MEM 1065.484375 1700466756.0333
MEM 1082.140625 1700466756.1384
MEM 1090.390625 1700466756.2421
MEM 1071.546875 1700466756.3473
MEM 1096.312500 1700466756.4525
MEM 1025.140625 1700466756.5577
MEM 1002.718750 1700466756.6629
MEM 21.562500 1700466756.7632
MEM 21.562500 1700466756.8683
MEM 21.562500 1700466756.9734
MEM 21.562500 1700466757.0785
MEM 21.562500 1700466757.1836
MEM 21.562500 1700466757.2887
MEM 21.562500 1700466757.3938
MEM 21.562500 1700466757.4970
MEM 21.562500 1700466757.6021
MEM 21.562500 1700466757.7033
MEM 21.562500 1700466757.8084
MEM 21.562500 1700466757.9122
MEM 21.562500 1700466758.0136
MEM 21.562500 1700466758.1188
MEM 7.328125 1700466758.2239
MEM 7.328125 1700466758.3282
MEM 7.328125 1700466758.4333
MEM 7.328125 1700466758.5385
MEM 7.328125 1700466758.6436
MEM 7.328125 1700466758.7465
MEM 7.328125 1700466758.8508
MEM 7.328125 1700466758.9560
MEM 7.328125 1700466759.0611
MEM 7.328125 1700466759.1663
MEM 7.109375 1700466759.2715
MEM 6.765625 1700466759.3766
MEM 5.703125 1700466759.4770
MEM 5.703125 1700466759.5803
MEM 5.703125 1700466759.6854
MEM 5.703125 1700466759.7906
MEM 5.703125 1700466759.8909
MEM 5.703125 1700466760.0036
MEM 5.703125 1700466760.1087
MEM 5.703125 1700466760.2089
